REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,1,1G,18,1,1,1000000,1,1,500,361.99,15,22,2023-02-21T07:59:53.378966
1,cpu,1,1G,18,1,1,1000000,1,1,750,389.09,19,22,2023-02-21T08:00:36.400220
1,cpu,1,1G,18,1,1,1000000,1,1,1000,389.09,19,22,2023-02-21T08:00:46.407640
1,cpu,1,1G,18,1,1,1000000,1,1,1500,703.29,21,22,2023-02-21T08:01:12.909844
1,cpu,1,1.25G,34,1,1,1000000,1,1,500,,4,13,2023-02-21T08:02:48.169423
1,cpu,1,1.25G,34,1,1,1000000,1,1,750,704.51,12,13,2023-02-21T08:03:31.165807
1,cpu,1,1.25G,34,1,1,1000000,1,1,1000,704.51,12,13,2023-02-21T08:03:41.172229
1,cpu,1,1.25G,34,1,1,1000000,1,1,1500,704.51,12,13,2023-02-21T08:03:51.183217
1,cpu,1,1.5G,50,1,1,1000000,1,1,500,391.47,6,10,2023-02-21T08:05:32.050669
1,cpu,1,1.5G,50,1,1,1000000,1,1,750,390.97,8,10,2023-02-21T08:06:15.340524
1,cpu,1,1.5G,50,1,1,1000000,1,1,1000,390.97,8,10,2023-02-21T08:06:25.351577
1,cpu,1,1.5G,50,1,1,1000000,1,1,1500,1246.49,9,10,2023-02-21T08:06:35.362420
1,cpu,1,2G,101,1,1,1000000,1,1,500,,2,7,2023-02-21T08:08:39.297682
1,cpu,1,2G,101,1,1,1000000,1,1,750,,5,7,2023-02-21T08:08:49.308575
1,cpu,1,2G,101,1,1,1000000,1,1,1000,,5,7,2023-02-21T08:08:59.319641
1,cpu,1,2G,101,1,1,1000000,1,1,1500,704.46,6,7,2023-02-21T08:09:25.853471
1,cpu,1,2.25G,152,1,1,1000000,1,1,500,,1,5,2023-02-21T08:11:28.597930
1,cpu,1,2.25G,152,1,1,1000000,1,1,750,,1,5,2023-02-21T08:11:38.604403
1,cpu,1,2.25G,152,1,1,1000000,1,1,1000,,1,5,2023-02-21T08:11:48.615317
1,cpu,1,2.25G,152,1,1,1000000,1,1,1500,1260.66,3,5,2023-02-21T08:12:15.840994
1,cpu,2,1G,18,1,2,1000000,1,2,500,367.23,42,49,2023-02-21T08:14:16.207968
1,cpu,2,1G,18,1,2,1000000,1,2,750,695.93,43,49,2023-02-21T08:14:43.784604
1,cpu,2,1G,18,1,2,1000000,1,2,1000,695.93,43,49,2023-02-21T08:14:53.795535
1,cpu,2,1G,18,1,2,1000000,1,2,1500,1237.59,45,49,2023-02-21T08:15:40.152173
1,cpu,2,1.25G,34,1,2,1000000,1,2,500,214.38,17,26,2023-02-21T08:18:15.541608
1,cpu,2,1.25G,34,1,2,1000000,1,2,750,696.99,25,26,2023-02-21T08:19:16.012080
1,cpu,2,1.25G,34,1,2,1000000,1,2,1000,696.99,25,26,2023-02-21T08:19:26.023018
1,cpu,2,1.25G,34,1,2,1000000,1,2,1500,696.99,25,26,2023-02-21T08:19:36.033987
1,cpu,2,1.5G,50,1,2,1000000,1,2,500,382.97,14,21,2023-02-21T08:21:51.660261
1,cpu,2,1.5G,50,1,2,1000000,1,2,750,691.71,17,21,2023-02-21T08:22:51.274581
1,cpu,2,1.5G,50,1,2,1000000,1,2,1000,691.71,17,21,2023-02-21T08:23:01.285483
1,cpu,2,1.5G,50,1,2,1000000,1,2,1500,1259.95,20,21,2023-02-21T08:23:44.659889
1,cpu,2,2G,101,1,2,1000000,1,2,500,,5,14,2023-02-21T08:25:42.834055
1,cpu,2,2G,101,1,2,1000000,1,2,750,694.59,10,14,2023-02-21T08:26:26.142423
1,cpu,2,2G,101,1,2,1000000,1,2,1000,694.59,10,14,2023-02-21T08:26:36.153639
1,cpu,2,2G,101,1,2,1000000,1,2,1500,1248.38,12,14,2023-02-21T08:27:02.730304
