REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,1,2G,18,1,1,1000000,1,1,750,661.36,19,24.0,2023-01-10T11:08:07.670212
1,cpu,1,2G,34,1,1,1000000,1,1,750,517.8,9,13.67,2023-01-10T11:11:49.597401
1,cpu,1,2G,50,1,1,1000000,1,1,750,696.79,8,11.0,2023-01-10T11:15:34.211737
1,cpu,1,2G,101,1,1,1000000,1,1,750,654.72,2,6.5,2023-01-10T11:19:11.339133
1,cpu,1,2G,152,1,1,1000000,1,1,750,684.94,1,4.62,2023-01-10T11:23:20.676263
1,cpu,2,4G,18,1,2,1000000,1,2,750,683.8,44,46.0,2023-01-10T11:26:27.883486
1,cpu,2,4G,34,1,2,1000000,1,2,750,704.74,25,27.25,2023-01-10T11:29:46.584564
1,cpu,2,4G,50,1,2,1000000,1,2,750,621.4,17,22.25,2023-01-10T11:33:34.137106
1,cpu,2,4G,101,1,2,1000000,1,2,750,613.45,9,12.8,2023-01-10T11:37:44.242058
1,cpu,2,4G,152,1,2,1000000,1,2,750,646.33,4,9.36,2023-01-10T11:41:37.857886
1,cpu,3,6G,18,1,3,1000000,1,3,750,666.15,67,67.0,2023-01-10T11:45:18.245030
1,cpu,3,6G,34,1,3,1000000,1,3,750,656.09,39,40.5,2023-01-10T11:49:04.460607
1,cpu,3,6G,50,1,3,1000000,1,3,750,706.11,30,33.5,2023-01-10T11:52:58.869455
1,cpu,3,6G,101,1,3,1000000,1,3,750,698.67,15,19.25,2023-01-10T11:56:37.832034
1,cpu,3,6G,152,1,3,1000000,1,3,750,648.43,10,13.67,2023-01-10T12:00:44.556130
1,cpu,4,8G,18,1,4,1000000,1,4,750,529.93,89,94.0,2023-01-10T12:04:26.064505
1,cpu,4,8G,34,1,4,1000000,1,4,750,672.79,54,53.33,2023-01-10T12:07:46.204278
1,cpu,4,8G,50,1,4,1000000,1,4,750,391.44,41,43.25,2023-01-10T12:11:08.287533
1,cpu,4,8G,101,1,4,1000000,1,4,750,515.53,20,25.44,2023-01-10T12:15:19.720308
1,cpu,4,8G,152,1,4,1000000,1,4,750,675.3,13,17.93,2023-01-10T12:19:26.192792
1,cpu,5,10G,18,1,5,1000000,1,5,750,570.81,114.0,116.0,2023-01-10T12:23:50.743900
1,cpu,5,10G,34,1,5,1000000,1,5,750,731.79,65,65.67,2023-01-10T12:27:39.626689
1,cpu,5,10G,50,1,5,1000000,1,5,750,389.2,48,51.4,2023-01-10T12:31:03.020759
1,cpu,5,10G,101,1,5,1000000,1,5,750,688.35,26,30.88,2023-01-10T12:34:46.675015
1,cpu,5,10G,152,1,5,1000000,1,5,750,695.64,18,21.92,2023-01-10T12:39:23.799827
1,cpu,6,12G,18,1,6,1000000,1,6,750,457.6,136.0,127.0,2023-01-10T12:43:48.952860
1,cpu,6,12G,34,1,6,1000000,1,6,750,321.98,79,77.5,2023-01-10T12:47:08.451577
1,cpu,6,12G,50,1,6,1000000,1,6,750,702.91,60,62.8,2023-01-10T12:51:06.207502
1,cpu,6,12G,101,1,6,1000000,1,6,750,703.1,33,36.0,2023-01-10T12:54:52.553667
1,cpu,6,12G,152,1,6,1000000,1,6,750,579.85,20,25.5,2023-01-10T12:59:28.423431
1,cpu,7,14G,18,1,7,1000000,1,7,750,371.64,160.0,144.5,2023-01-10T13:03:54.912492
1,cpu,7,14G,34,1,7,1000000,1,7,750,411.14,86,88.0,2023-01-10T13:07:15.618196
1,cpu,7,14G,50,1,7,1000000,1,7,750,634.53,70,68.8,2023-01-10T13:10:42.589206
